"group","role","name","grade"
24,"number","6b8f61e4e0970e32f334faffd31d9134",86
24,"number","5fdb4bc6137d2be54b68960614755c59",85
25,"leader","f06a19a1fd5d131a6cff1252036a5c84",89
25,"number","272bf19a6c969fd4419109895b1540a6",80
25,"number","99adb6c7a28f189d7a89cffa3225f03d",92
25,"number","1053a32425d8e09667d3d93af50fdf19",94
25,"number","6fa306cec7258c2d97820823e1d4d523",85
25,"number","1b939e5c800fe528f26268866c1906a6",81
25,"number","203ea115eb451d64e53783993d5ad829",80
25,"number","978124ac63faeee3c860732ac4902069",92
25,"number","2b8293951db1dc61cfabd1cf4b45d2f9",74
26,"leader","e15b3180fd36b49fabb99fbbe003a971",93
26,"number","3a38b13b9128c609e0539949f954e6da",90
26,"number","69854a8918c999af831a26954d847546",98
26,"number","07c170db677df25444e732b894ae075b",97
26,"number","fc2f3c1f41b583dde0edb5cbe3716dcb",79
26,"number","8f23ebba97cac4cc9456a77bb559c79e",84
26,"number","60f40b61b3e4565a4c4f05837137f9c5",78
26,"number","91e3668805f3fdfabbced53739f70636",83
26,"number","0b8380b4cbea83ab490ee15e00d720c9",86
26,"number","23ab4093008567faf902a8eae8abb27a",77
27,"leader","aa4b0e1dcf511578188a1bac479aa68b",77
27,"number","4fb193f4311f724ce66c8f846b523c02",81
27,"number","3ad2ca34c00413d7821c67812e0093cc",82
27,"number","f85812cdc645e742f2ecdbc9a405c742",93
27,"number","13e619a2ab035c6da0a622c698447e89",86
27,"number","1f31d31853a182f67ec4405518060351",77
27,"number","0c143567f728a0f9549ac6e70a610fb0",92
27,"number","9e0a1b3fe8ac0619e25452a5d0dc5aba",88
28,"leader","bb66ff352da055bfd266f7ba0ea084f5",76
28,"number","0331170d022b4a6776129e9c1d04509f",80
28,"number","a211e9987926014eaf90c69f800a4435",80
28,"number","1e9d7ce8a27300d0b21ad1975dcc63b8",84
28,"number","181a5d8f753ae00b7fd284d9be483870",84
28,"number","20ebc4d6fa7d0ef105e4abf9efc0fea5",80
28,"number","cf170486b6859d3a01bfe18260f1c905",81
28,"number","fd887690309081d8bf747b0f661e2327",85
28,"number","154c56807ff2b51d8c8da8bd9ee8251e",89
28,"number","a67f1a4ebf8711953577f8c339c546ad",85
29,"leader","426f21dead03e735bd2adf7898d0bed4",81
29,"number","a823faf32a840599686ccceb35525818",67
29,"number","d87f688ea610967db972394caf13a855",86
29,"number","883f350d5ad0d85c0495211719d43e29",81
29,"number","3af84308cf0521b4045b7233b6637a6a",79
29,"number","fa55654781556db1b371953e8df3b7b4",86
29,"number","a85a89a66fee03d976cff6b1e8735de6",75
29,"number","957fb26c2eb02fd1ca0f22ae41108543",78
29,"number","9ad6d95b3d91e49a861e035dd0baba20",80
29,"number","a4a3a18f30eab91d68f2295bfa87914d",87
30,"leader","9361f84263408bdbb01d05d973617ecc",70
30,"number","19234a6c91c6a12ea752604b478e8b1f",78
30,"number","436ace34e6f64d2e0b4b0b1613a3fcbd",89
30,"number","e6842000adf3c7c4bec948f9c927f8e1",57
30,"number","c86a23a6f221084219abfe2ed2944a1a",80
30,"number","aaa4b81b42dd79a2df74b9bbc088440f",90
30,"number","284008cb9aad97b64f61e3191cd345c8",84
30,"number","e70a9247975deca8ca311dc517a006a8",88
30,"number","480f0e2d1c937e1a5db7ec5417065d82",81
31,"leader","a6ee20333a436e6e26a5a7bfa7715255",82
31,"number","f4df51d741418026d438d346437ce7d1",82
31,"number","4abad8dfa2aa0d7540f2b5d1eb04b856",80
31,"number","0a332e6d186bfcb403fa1fe1fd008854",97
31,"number","1dc47dd25ed21f9b02610e81acf761c0",79
31,"number","3af4e5cea6a136509b8f8b02037d6d0b",88
31,"number","1764836108f95679f4f20b0aa1d22b6b",74
31,"number","b5c3541e4159e357f2b293c429e63e30",78
31,"number","623cede989e904aed52f0b9509deaf42",88
32,"leader","58cc2037f91b526d1bc42b10ee4e5031",86
32,"number","9b89cdd4e699dfc67a61de3e466592df",85
32,"number","0d894e19ccef7f8c5b0da730d2b04ab2",76
32,"number","f2d62af327739b31aef7ec222bfd2d8d",86
32,"number","316f5ba99b63ba21c05abc4f8887ea5a",86
32,"number","2bce9f6e2fb4f3c307b0d9a4aa0b3c8b",81
